长春,"{'2007': 12.870833333333332, '2008': 14.799999999999997, '2009': 14.550833333333332, '2010': 16.579166666666666, '2011': 20.17916666666667, '2012': 21.664999999999996, '2013': 23.354166666666668, '2014': 23.7525, '2015': 23.0825, '2016': 22.14833333333333, '2017': 22.2775}"
重庆,"{'2007': 14.668333333333337, '2008': 14.704166666666671, '2009': 15.334166666666667, '2010': 18.055000000000003, '2011': 19.6775, '2012': 21.328333333333337, '2013': 22.319999999999997, '2014': 23.42583333333333, '2015': 23.778333333333332, '2016': 22.82416666666667, '2017': 22.92833333333333}"
哈尔滨,"{'2007': 16.96166666666667, '2008': 21.329166666666666, '2009': 22.785000000000007, '2010': 24.468333333333334, '2011': 27.209166666666665, '2012': 29.285833333333333, '2013': 30.110833333333336, '2014': 32.15, '2015': 31.709166666666665, '2016': 30.816666666666666, '2017': 29.405000000000005}"
济南,"{'2007': 11.990833333333333, '2008': 14.4, '2009': 14.767499999999998, '2010': 17.473333333333336, '2011': 19.274166666666666, '2012': 21.146666666666665, '2013': 23.5725, '2014': 24.607499999999998, '2015': 24.742499999999996, '2016': 25.532500000000002, '2017': 25.190833333333334}"
南京,"{'2007': 22.93166666666666, '2008': 25.605000000000004, '2009': 23.919166666666666, '2010': 25.852499999999996, '2011': 27.867499999999996, '2012': 30.60333333333334, '2013': 33.0825, '2014': 34.17083333333333, '2015': 34.145, '2016': 35.299166666666665, '2017': 37.541666666666664}"
南宁,"{'2007': 13.920833333333334, '2008': 19.913333333333334, '2009': 21.239166666666666, '2010': 22.166666666666668, '2011': 22.659166666666664, '2012': 21.3325, '2013': 22.989166666666666, '2014': 24.486666666666668, '2015': 24.992500000000003, '2016': 24.834999999999997, '2017': 25.214166666666667}"
石家庄,"{'2007': 9.233333333333334, '2008': 10.600000000000001, '2009': [], '2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
天津,"{'2007': 23.453333333333333, '2008': 34.97, '2009': [], '2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
西安,"{'2007': 16.224285714285713, '2008': [], '2009': [], '2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
香港,"{'2007': [], '2008': [], '2009': [], '2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
澳门,"{'2007': [], '2008': [], '2009': [], '2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
台北,"{'2007': [], '2008': [], '2009': [], '2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
广州,"{'2007': 28.415, '2008': 29.2375, '2009': 28.251666666666665, '2010': 31.642500000000002, '2011': 34.25416666666667, '2012': 37.07083333333333, '2013': 40.818333333333335, '2014': 41.76499999999999, '2015': 43.645, '2016': 43.843333333333334, '2017': 42.826666666666675}"
兰州,"{'2007': 10.101, '2008': 10.6975, '2009': 11.966666666666663, '2010': 14.6425, '2011': 17.3125, '2012': 20.394166666666667, '2013': 24.68166666666667, '2014': 26.528333333333325, '2015': 27.425, '2016': 27.650833333333335, '2017': 27.209166666666665}"
南昌,"{'2007': 11.586999999999998, '2008': 12.064166666666667, '2009': 13.769166666666669, '2010': 15.564166666666665, '2011': 16.296666666666667, '2012': 17.779999999999998, '2013': 20.221666666666664, '2014': 22.019166666666667, '2015': 22.688333333333333, '2016': 22.6075, '2017': 21.656666666666666}"
沈阳,"{'2007': 18.131999999999998, '2008': 21.08, '2009': [], '2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
合肥,"{'2007': 10.383333333333333, '2008': 14.3825, '2009': 11.344999999999999, '2010': 13.710833333333332, '2011': 15.732500000000002, '2012': 16.977500000000003, '2013': 20.007499999999997, '2014': 20.864166666666666, '2015': 20.903333333333332, '2016': 21.712499999999995, '2017': 21.904166666666665}"
上海,"{'2007': 58.47666666666666, '2008': 53.343333333333334, '2009': 43.88249999999999, '2010': 44.91833333333333, '2011': 48.88833333333334, '2012': 48.379999999999995, '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
福州,"{'2007': 18.7175, '2008': 21.39166666666667, '2009': 20.642499999999995, '2010': 22.298333333333336, '2011': 25.328333333333333, '2012': 27.80583333333333, '2013': 31.785833333333333, '2014': 32.869166666666665, '2015': 33.209999999999994, '2016': 32.768333333333324, '2017': 31.759166666666662}"
长沙,"{'2007': 14.83714285714286, '2008': 16.551666666666666, '2009': 17.298333333333336, '2010': 18.104999999999997, '2011': 19.45, '2012': 21.035833333333333, '2013': 21.88083333333333, '2014': 22.41916666666667, '2015': 22.959166666666672, '2016': 23.7175, '2017': 24.334166666666665}"
武汉,"{'2007': 12.76, '2008': [], '2009': [], '2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
成都,"{'2007': 20.228, '2008': 19.705000000000002, '2009': 20.948333333333334, '2010': 21.27916666666667, '2011': 22.713333333333328, '2012': 24.609166666666667, '2013': 25.325833333333332, '2014': 26.168333333333333, '2015': 25.737499999999997, '2016': 24.114166666666666, '2017': 24.228333333333335}"
太原,"{'2007': 11.24, '2008': [], '2009': [], '2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
乌鲁木齐,"{'2007': 8.9, '2008': [], '2009': [], '2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
