香港,"{'2007': [], '2008': [], '2009': [], '2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
澳门,"{'2007': [], '2008': [], '2009': [], '2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
台北,"{'2007': [], '2008': [], '2009': [], '2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
福州,"{'2007': 0.6975, '2008': 0.9766666666666666, '2009': 0.8975, '2010': 1.5091666666666665, '2011': 2.249166666666667, '2012': 3.4249999999999994, '2013': 3.774166666666666, '2014': 4.746363636363636, '2015': 3.6308333333333334, '2016': 2.6366666666666663, '2017': 2.6516666666666664}"
南京,"{'2007': 3.1849999999999996, '2008': 3.1024999999999996, '2009': 2.4324999999999997, '2010': 1.8741666666666665, '2011': 2.04, '2012': 2.688333333333333, '2013': 2.9025, '2014': 3.456363636363636, '2015': 3.123333333333333, '2016': 2.6650000000000005, '2017': 2.8166666666666664}"
长春,"{'2007': 0.5766666666666667, '2008': 0.6066666666666666, '2009': 0.7749999999999999, '2010': 0.8400000000000002, '2011': 1.0816666666666668, '2012': 1.3966666666666665, '2013': 1.7074999999999998, '2014': 1.6363636363636365, '2015': 1.2483333333333333, '2016': 1.5641666666666667, '2017': 1.439166666666667}"
济南,"{'2007': 0.605, '2008': 0.5858333333333333, '2009': 0.7016666666666665, '2010': 1.3483333333333334, '2011': 1.7383333333333333, '2012': 2.2391666666666667, '2013': 2.2208333333333337, '2014': 2.2590909090909097, '2015': 1.7191666666666665, '2016': 1.9591666666666665, '2017': 1.9575000000000002}"
北京,"{'2008': 1.8457142857142856, '2009': 3.6449999999999996, '2010': 3.1391666666666667, '2011': 3.724166666666667, '2012': 5.044166666666667, '2013': 5.449166666666667, '2014': 5.675454545454546, '2015': 5.4225, '2016': 5.2325, '2017': 5.761666666666667}"
上海,"{'2008': 2.572857142857143, '2009': 2.065, '2010': 2.6666666666666665, '2011': 3.5933333333333333, '2012': 5.665, '2013': 5.168333333333334, '2014': 5.3066666666666675, '2015': 5.125, '2016': [], '2017': []}"
成都,"{'2008': 1.0899999999999999, '2009': 0.9833333333333333, '2010': 1.8500000000000003, '2011': 2.1033333333333335, '2012': 2.466666666666667, '2013': 3.5591666666666666, '2014': 4.034545454545454, '2015': 2.8416666666666672, '2016': 2.57, '2017': 2.274166666666667}"
郑州,"{'2008': 0.4775, '2009': 0.47111111111111115, '2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
重庆,"{'2008': 2.36, '2009': 1.8566666666666667, '2010': 1.6675000000000002, '2011': 1.5491666666666666, '2012': 2.0433333333333334, '2013': 2.864166666666667, '2014': 2.89, '2015': 2.0308333333333333, '2016': 2.2775, '2017': 2.1508333333333334}"
南宁,"{'2008': 0.6933333333333334, '2009': 0.9866666666666667, '2010': 1.8708333333333336, '2011': 1.9766666666666668, '2012': 2.8525000000000005, '2013': 3.455833333333333, '2014': 5.006363636363636, '2015': 3.560833333333333, '2016': 2.6575, '2017': 3.0574999999999997}"
南昌,"{'2008': 0.9450000000000001, '2009': 0.8308333333333334, '2010': 1.0208333333333333, '2011': 0.9041666666666665, '2012': 1.1449999999999998, '2013': 2.0833333333333335, '2014': 2.038181818181818, '2015': 1.755, '2016': 1.8658333333333335, '2017': 1.925}"
武汉,"{'2008': 0.87, '2009': 1.3519999999999999, '2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
合肥,"{'2009': 0.7909090909090909, '2010': 0.8658333333333333, '2011': 1.02, '2012': 1.5466666666666666, '2013': 1.8466666666666667, '2014': 1.5254545454545452, '2015': 1.3808333333333334, '2016': 1.695833333333333, '2017': 1.7449999999999999}"
沈阳,"{'2009': 0.69, '2010': 0.92, '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
西安,"{'2009': 1.4925000000000002, '2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
广州,"{'2009': 1.158, '2010': 2.3275, '2011': 2.864166666666667, '2012': 4.868333333333333, '2013': 5.760833333333333, '2014': 5.455454545454546, '2015': 4.8741666666666665, '2016': 4.733333333333333, '2017': 3.39}"
石家庄,"{'2009': 0.766, '2010': 0.97, '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
哈尔滨,"{'2009': 1.0350000000000001, '2010': 1.2358333333333331, '2011': 1.2583333333333333, '2012': 1.6841666666666668, '2013': 1.9066666666666665, '2014': 2.0963636363636367, '2015': 1.6799999999999997, '2016': 1.8374999999999997, '2017': 1.9974999999999998}"
太原,"{'2009': 0.56, '2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
昆明,"{'2009': 1.4933333333333332, '2010': 2.025, '2011': 2.4749999999999996, '2012': 2.6474999999999995, '2013': 3.544166666666666, '2014': 3.4718181818181817, '2015': 2.3408333333333333, '2016': 2.06, '2017': 2.035833333333333}"
天津,"{'2009': 1.8333333333333333, '2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
海口,"{'2009': 0.495, '2010': 1.785833333333333, '2011': 1.545, '2012': 2.4200000000000004, '2013': 2.7633333333333336, '2014': 2.516363636363636, '2015': 1.8949999999999996, '2016': 2.1683333333333334, '2017': 2.0383333333333336}"
杭州,"{'2009': 1.57, '2010': 2.8141666666666665, '2011': 3.7108333333333334, '2012': 3.6799999999999997, '2013': 3.7791666666666672, '2014': 3.428181818181818, '2015': 2.9716666666666662, '2016': 2.6983333333333337, '2017': 2.9333333333333336}"
贵阳,"{'2010': 1.558333333333333, '2011': 1.4875, '2012': 1.4558333333333333, '2013': 2.235833333333333, '2014': 2.8899999999999997, '2015': 2.8083333333333336, '2016': 2.535833333333333, '2017': 2.8883333333333336}"
兰州,"{'2010': 1.0866666666666667, '2011': 1.1933333333333336, '2012': 1.9124999999999996, '2013': 2.395, '2014': 2.6045454545454545, '2015': 2.4066666666666667, '2016': 2.3841666666666668, '2017': 3.2750000000000004}"
长沙,"{'2010': 1.1881818181818182, '2011': 1.3908333333333331, '2012': 1.9483333333333333, '2013': 2.6500000000000004, '2014': 3.0954545454545452, '2015': 1.8116666666666665, '2016': 1.8125000000000002, '2017': 2.0108333333333333}"
呼和浩特,"{'2010': 1.011, '2011': 1.1208333333333333, '2012': 1.3808333333333334, '2013': 1.6075, '2014': 1.749090909090909, '2015': 1.2591666666666668, '2016': 1.46, '2017': 1.7508333333333337}"
银川,"{'2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
乌鲁木齐,"{'2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
西宁,"{'2010': [], '2011': [], '2012': [], '2013': [], '2014': [], '2015': [], '2016': [], '2017': []}"
