,2007/1/1,2007/2/1,2007/3/1,2007/4/1,2007/5/1,2007/6/1,2007/7/1,2007/8/1,2007/9/1,2007/10/1,2007/11/1,2007/12/1,2008/1/1,2008/2/1,2008/3/1,2008/4/1,2008/5/1,2008/6/1,2008/7/1,2008/8/1,2008/9/1,2008/10/1,2008/11/1,2008/12/1,2009/1/1,2009/2/1,2009/3/1,2009/4/1,2009/5/1,2009/6/1,2009/7/1,2009/8/1,2009/9/1,2009/10/1,2009/11/1,2009/12/1,2010/1/1,2010/2/1,2010/3/1,2010/4/1,2010/5/1,2010/6/1,2010/7/1,2010/8/1,2010/9/1,2010/10/1,2010/11/1,2010/12/1,2011/1/1,2011/2/1,2011/3/1,2011/4/1,2011/5/1,2011/6/1,2011/7/1,2011/8/1,2011/9/1,2011/10/1,2011/11/1,2011/12/1,2012/1/1,2012/2/1,2012/3/1,2012/4/1,2012/5/1,2012/6/1,2012/7/1,2012/8/1,2012/9/1,2012/10/1,2012/11/1,2012/12/1,2013/1/1,2013/2/1,2013/3/1,2013/4/1,2013/5/1,2013/6/1,2013/7/1,2013/8/1,2013/9/1,2013/10/1,2013/11/1,2013/12/1,2014/1/1,2014/2/1,2014/3/1,2014/4/1,2014/5/1,2014/6/1,2014/7/1,2014/8/1,2014/9/1,2014/10/1,2014/11/1,2014/12/1,2015/1/1,2015/2/1,2015/3/1,2015/4/1,2015/5/1,2015/6/1,2015/7/1,2015/8/1,2015/9/1,2015/10/1,2015/11/1,2015/12/1,2016/1/1,2016/2/1,2016/3/1,2016/4/1,2016/5/1,2016/6/1,2016/7/1,2016/8/1,2016/9/1,2016/10/1,2016/11/1,2016/12/1,2017/1/1,2017/2/1,2017/3/1,2017/4/1,2017/5/1,2017/6/1,2017/7/1,2017/8/1,2017/9/1,2017/10/1,2017/11/1,2017/12/1
福州,6895.011289,7235.825611,7543.657902,7884.472224,8702,8308,7757,10384,9188,10004,10367,12444,11869,17947,14916,15705,17291,15034,13763,18012,10733,20291,11343,13148,12504,19613,10701,9405,9566,15549,12224,9832,11496,10878,14694,14733,15688,15357,22500,27685,29270,31093,29960,27995,26466,28685,29185,29534,33080,28728,27079,27443,27769,25803,31169,30256,33434,39488,36915,37881,39355,37247,37950,38393,37311,35133,39140,38994,37665,37958,38065,40435,43806,44827,40057,42893,46079,42111,43491,44029,44479,43808,44205,44595,45214,46535,44868,43044,45571,42768,43862,44057,45094,44920,45023,41959,39708,40537,41056,41106,39094,33173,38278,40470,36994,36945,38044,38922,41380,37506,37290,37725,34222,30632,28099,27805,29893,31188,32754,41621,33397,29341,30989,33876,30559,32042,34602,35891,37409,37507,41200,37556
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哈尔滨,4242.018333,4309.03,4369.556667,4436.568333,4501.418333,4568.43,4454,4457,5324,4885,4967,4748,5082,4912,5257,5436,4975,5705,5807,5990,6929,7147,6681,6546,4931,6088,6789,6907,7288,6826,7065,6881,7217,7951,8208,8832,8283,8795,9149,10201,9656,9545,9114,9179,9524,9263,8529,8739,9332,9124,9099,8964,9020,9272,8646,9368,10184,10206,10385,10515,10586,10544,12552,11604,10841,10475,10611,9488,10831,11085,11061,10806,10648,10852,11584,11612,11296,10891,11777,11917,12748,12282,11909,12047,12172,11820,12841,12571,13232,13185,13087,13350,12339,11403,11322,12242,12079,11397,10923,12087,11017,11054,10503,10375,9937,10195,11105,12346,11465,9869,10957,10934,10464,9928,9293,9361,9841,9441,10344,9669,10481,9665,10006,10080,10644,10152,12226,12530,11337,12094,11753,12166
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合肥,8280.666512,8248.725071,8219.874738,8187.933298,8157.022226,8125.080786,8866,7041,6605,9263,9658,7198,7223,7875,7981,7997,7278,6518,6873,6652,5964,6173,6319,5951,5682,6363,6346,5675,6063,5695,6817,7565,7718,7497,7444,7541,7802,8210,9132,10727,10920,11092,11810,11753,10316,10852,11866,12916,12299,10489,10288,11301,11784,11251,12336,12742,15665,15230,16219,16427,16151,16245,14810,15394,16725,16597,15485,14684,15880,14957,12751,13351,12974,13330,13404,16083,16739,14057,15269,16049,15843,17151,17143,17009,17512,18975,17926,18818,18870,18503,19233,17549,17664,16365,15481,15326,19458,16408,15136,13942,14389,16071,15972,13721,16020,13840,17577,17366,14758,14486,18268,17821,16978,16849,16957,16836,18920,19871,18570,18096,16855,16706,18722,17288,16383,17022,17846,18687,19192,18141,18579,18314
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
济南,4595.864315,4690.561812,4776.095035,4870.792532,4962.435271,5057.132768,5148.775507,5243.473004,5338.170501,5429.81324,5524.510736,5208,6239,5793,5880,5993,5983,5958,5750,6231,5924,6076,6620,6248,6619,6112,6137,6302,6564,6283,6668,6941,7177,7633,7250,7015,7835,7968,9651,10634,10228,11562,11357,10435,9885,9442,9781,9655,10713,11755,11654,12075,11797,12951,12372,12519,11789,12508,13351,13930,12510,12832,12252,13848,12880,11402,11504,12397,12087,12672,11856,12068,12077,13037,12428,13138,13951,15035,15903,15369,15446,14673,15793,14355,15860,15725,15319,17709,16063,15790,16421,15315,15422,15686,15182,15563,14231,12550,14925,15339,14367,12074,12477,12427,12467,12824,12982,13697,13496,14044,13027,14659,12046,13064,12507,15110,14336,15093,14186,17340,18156,17703,16183,20127,21819,21568,22794,22857,24511,24076,26526,26522
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长春,4293.701251,4237.869528,4187.440875,3878,4070,3858,4152,3889,4042,3626,3724,4238,3545,4894,4859,4883,4703,4082,4576,3965,4974,4551,4762,4866,4904,5448,4995,5378,5567,6198,6260,6510,6166,6449,6804,7095,7863,7599,7863,7907,7935,8199,8474,8121,9036,9238,9113,9651,9068,9660,9078,8868,8903,8676,8482,7588,8699,8150,9518,9809,9757,8478,9547,10301,11217,11917,10513,11284,11263,11294,11687,10801,11406,11707,11369,11764,11363,11758,11232,12680,12201,11506,12178,11863,10037,11436,11098,9855,9830,9772,10727,9854,10514,9852,10514,11626,11402,9660,10120,9236,8663,7983,8398,10970,10142,9595,9400,8983,8622,8489,9271,9669,9544,8716,11008,11531,10692,10605,11110,11137,10902.51471,10864.52947,10830.22023,10792.235,10755.4751,10717.48987,10680.72997,10642.74474,10604.75951,10567.99961,10530.01438,10493.25448
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
