,2007/1/1,2007/2/1,2007/3/1,2007/4/1,2007/5/1,2007/6/1,2007/7/1,2007/8/1,2007/9/1,2007/10/1,2007/11/1,2007/12/1,2008/1/1,2008/2/1,2008/3/1,2008/4/1,2008/5/1,2008/6/1,2008/7/1,2008/8/1,2008/9/1,2008/10/1,2008/11/1,2008/12/1,2009/1/1,2009/2/1,2009/3/1,2009/4/1,2009/5/1,2009/6/1,2009/7/1,2009/8/1,2009/9/1,2009/10/1,2009/11/1,2009/12/1,2010/1/1,2010/2/1,2010/3/1,2010/4/1,2010/5/1,2010/6/1,2010/7/1,2010/8/1,2010/9/1,2010/10/1,2010/11/1,2010/12/1,2011/1/1,2011/2/1,2011/3/1,2011/4/1,2011/5/1,2011/6/1,2011/7/1,2011/8/1,2011/9/1,2011/10/1,2011/11/1,2011/12/1,2012/1/1,2012/2/1,2012/3/1,2012/4/1,2012/5/1,2012/6/1,2012/7/1,2012/8/1,2012/9/1,2012/10/1,2012/11/1,2012/12/1,2013/1/1,2013/2/1,2013/3/1,2013/4/1,2013/5/1,2013/6/1,2013/7/1,2013/8/1,2013/9/1,2013/10/1,2013/11/1,2013/12/1,2014/1/1,2014/2/1,2014/3/1,2014/4/1,2014/5/1,2014/6/1,2014/7/1,2014/8/1,2014/9/1,2014/10/1,2014/11/1,2014/12/1,2015/1/1,2015/2/1,2015/3/1,2015/4/1,2015/5/1,2015/6/1,2015/7/1,2015/8/1,2015/9/1,2015/10/1,2015/11/1,2015/12/1,2016/1/1,2016/2/1,2016/3/1,2016/4/1,2016/5/1,2016/6/1,2016/7/1,2016/8/1,2016/9/1,2016/10/1,2016/11/1,2016/12/1,2017/1/1,2017/2/1,2017/3/1,2017/4/1,2017/5/1,2017/6/1,2017/7/1,2017/8/1,2017/9/1,2017/10/1,2017/11/1,2017/12/1
长春,12.31,11.4,12.51,11.78,12.05,12.64,14.27,13.57,13.2,13.33,13.57,13.82,14.2,14.74,14.9,15.07,14.37,15.27,15.01,14.52,15.12,14.73,15.36,14.31,14.2,14.13,14.35,14.05,13.85,14.39,14.48,14.72,14.85,14.98,15.23,15.38,15.18,15.38,15.78,16.01,16.16,16.37,17.07,17.29,17.45,17.13,17.44,17.69,18.64,18.95,19.59,19.85,20.43,20.46,21.06,20.92,21.06,20.09,20.56,20.54,20.62,20.38,20.84,21.08,20.76,21.77,22.45,22.48,22.94,21.82,22.47,22.37,22.54,22.52,23.54,23.81,24.52,24.93,23.41,23.43,23.07,22.7,22.74,23.04,23.31,23.67,23.84,23.63,24.36,24,24.27,23.91,23.71,23.49,23.39,23.45,23.64,23.69,23.79,23.57,23.46,23.57,23.39,22.95,22.73,22.25,21.95,22,22.23,22.57,22.25,21.72,22.05,21.98,22.47,22.11,22.06,22.56,21.72,22.06,22.22,22.99,22.17,22.07,21.77,22.08,22.51,22.24,22.7,21.41,21,24.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆,15.95,14.52,13.67,14.34,14.61,14.76,14.54,15.35,15.68,14.4,14.21,13.99,14.53,13.95,13.94,14.09,14.43,14.7,15.83,15.32,14.89,15.33,14.83,14.61,14.45,14.25,15.11,14.98,14.86,14.85,15.14,15.97,15.33,15.75,17,16.32,16.94,16.98,17.37,17.72,17.79,18.62,18.39,18.47,18.53,18.58,18.62,18.65,19.01,19.31,19.93,19.61,19.8,19.6,20.03,19.98,19.88,19.82,19.68,19.48,19.69,19.57,20.18,20.83,21.23,21.36,21.96,22.31,22.65,22.14,21.97,22.05,22.04,21.84,22.46,22.53,22.46,21.91,22.7,22.25,22.15,22.38,22.66,22.46,22.79,21.33,22.28,22.91,23.39,23.25,23.54,24.2,23.84,24.71,24.35,24.52,24.23,24.51,23.77,24.16,23.62,23.74,23.51,23.49,23.42,23.45,23.93,23.51,23.14,22.73,23.16,22.82,23.03,22.97,23.77,22.27,22.59,22.51,22.8,22.1,21.17,21.33,21.95,22.21,22.57,22.85,23.59,23.83,23.29,23.24,23.44,25.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哈尔滨,10.95,12.31,12.5,11.56,15.51,19.44,19.02,20.98,21.17,19.74,19.72,20.64,19.88,19.95,21.92,21.75,21.36,21.46,21.21,21.48,21.45,21.41,22.58,21.5,22.42,23.21,22.34,22.31,22.71,22.93,24.36,23.13,23.24,21.93,22.21,22.63,22.87,22.83,23.91,24.35,25.44,25.03,25.22,24.22,24.89,23.96,25.28,25.62,25.75,25.74,26.7,26.09,26.51,27.13,27.63,29.37,29.47,28.33,27.13,26.66,28.11,30.39,28.36,28.98,29.49,30.57,30.76,30.7,29.55,28.16,27.49,28.87,29.11,28.75,27.85,30.98,30.88,30.58,30.8,31.87,31.06,30.3,29.51,29.64,31.64,31.78,32.21,31.77,32.22,32.77,33.47,33.01,32.44,31.91,31.5,31.08,31.01,31.69,32.13,31.29,31.66,32.22,32.45,31.75,32.13,31.19,31.64,31.35,30.91,32.03,32.04,31.68,32.65,32.88,32.79,31.56,30.97,27.24,27.69,27.36,28.43,31.62,30.45,30.31,28.69,29.05,29.16,29.38,29.27,27.85,27.6,31.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
济南,11.05,10.83,8.66,10.72,11.88,12.27,12.98,13.02,13.35,13.01,12.73,13.39,13.84,13.77,13.86,13.95,14.46,14.42,14.87,15.21,15.04,14.77,14.55,14.06,14.39,13.88,13.94,14.35,14.73,14.63,15.47,15.71,15.48,15.14,14.74,14.75,15.97,16.74,17.06,17.3,16.95,17.56,18.18,18.31,18.3,17.92,17.67,17.72,18.52,17.81,19.27,19.59,19,19.06,19.74,19.39,19.8,19.87,19.45,19.79,20.07,19.92,18.7,20.3,20.55,21.07,21.37,21.84,22.29,22.8,22.54,22.31,22.76,22.31,23.34,23.74,24.02,24.32,23.33,24,23.71,23.97,23.63,23.74,23.9,23.05,23.77,24.16,24.66,24.85,25.05,25.34,25.95,25.26,24.6,24.7,24.43,24.5,24.79,24.62,24.88,25.48,25.52,24.83,24.83,24.62,24.14,24.27,24.5,24.39,24.99,25.14,25.69,26.05,26.67,26.18,26.6,26.7,24.63,24.85,25.1,24.76,24.67,25.26,24.72,24.64,25.24,25.37,25.76,25.65,24.92,26.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南京,23.53,26.96,26.51,22.74,18.16,26.62,21.06,23.07,19.76,21.45,23.01,22.31,21.25,28.66,26.88,28.72,29.09,31.63,29.87,25.39,23.62,20.75,20.11,21.29,28.68,19.69,21.24,22.62,21.28,22.31,19.51,28.73,26.35,25.97,25.21,25.44,25.4,25.43,25.8,25.15,25.74,25.33,26.23,26.76,25.64,25.51,26.81,26.43,26.99,26.32,27.08,27.15,27.22,27.95,28.66,28.56,28.73,28.52,28.63,28.6,28.18,28.77,28.7,29.96,29.77,30.45,30.49,31.41,32.31,32.74,32.28,32.18,32.85,33.07,33.34,33.87,32.55,33.31,33.49,31.7,33.45,33.55,33.03,32.78,34.8,32.86,32.72,33.78,34.6,35.16,35.34,35.08,34.21,33.77,33.85,33.88,33.47,34.07,33.87,33.77,33.89,34.77,35.1,35.68,34.28,33.75,33.24,33.85,34.24,34.69,32.99,32.87,33.23,35.28,37.63,37.72,37.81,37.01,34.93,35.19,32.73,34.63,34.65,36.85,35.6,36.53,39.74,39.04,39.46,39.25,40.57,41.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
